enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,id_disciplina,id_dificuldade
Pergunta número 1: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,3
Pergunta número 2: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,4,1
Pergunta número 3: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,2,3
Pergunta número 4: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,3,3
Pergunta número 5: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,1
Pergunta número 6: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,4,3
Pergunta número 7: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,8,1
Pergunta número 8: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,1
Pergunta número 9: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,8,1
Pergunta número 10: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,2,2
Pergunta número 11: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,4,3
Pergunta número 12: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,8,1
Pergunta número 13: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,1
Pergunta número 14: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,3
Pergunta número 15: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,7,1
Pergunta número 16: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,6,3
Pergunta número 17: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,4,2
Pergunta número 18: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,3
Pergunta número 19: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,4,3
Pergunta número 20: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,3
Pergunta número 21: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,6,2
Pergunta número 22: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,7,2
Pergunta número 23: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,2,1
Pergunta número 24: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,3,1
Pergunta número 25: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,2
Pergunta número 26: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,8,2
Pergunta número 27: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,4,3
Pergunta número 28: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,1,1
Pergunta número 29: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,2,1
Pergunta número 30: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,5,3
Pergunta número 31: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,8,1
Pergunta número 32: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,8,2
Pergunta número 33: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,1,1
Pergunta número 34: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,3
Pergunta número 35: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,5,2
Pergunta número 36: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,3
Pergunta número 37: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,3,3
Pergunta número 38: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,5,1
Pergunta número 39: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,3,1
Pergunta número 40: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,3
Pergunta número 41: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,4,2
Pergunta número 42: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,4,1
Pergunta número 43: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,6,2
Pergunta número 44: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,3
Pergunta número 45: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,3
Pergunta número 46: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,3
Pergunta número 47: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,8,1
Pergunta número 48: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,2,1
Pergunta número 49: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,6,3
Pergunta número 50: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,1,1
Pergunta número 51: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,2
Pergunta número 52: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,1,2
Pergunta número 53: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,6,3
Pergunta número 54: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,2
Pergunta número 55: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,8,3
Pergunta número 56: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,4,1
Pergunta número 57: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,2,3
Pergunta número 58: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,5,2
Pergunta número 59: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,3
Pergunta número 60: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,2,2
Pergunta número 61: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,5,2
Pergunta número 62: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,5,3
Pergunta número 63: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,5,1
Pergunta número 64: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,2,2
Pergunta número 65: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,1,3
Pergunta número 66: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,7,2
Pergunta número 67: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,8,2
Pergunta número 68: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,8,2
Pergunta número 69: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,4,3
Pergunta número 70: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,2
Pergunta número 71: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,4,1
Pergunta número 72: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,7,3
Pergunta número 73: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,6,1
Pergunta número 74: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,5,2
Pergunta número 75: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,7,2
Pergunta número 76: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,3,1
Pergunta número 77: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,5,3
Pergunta número 78: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,4,3
Pergunta número 79: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,2,2
Pergunta número 80: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,7,1
Pergunta número 81: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,7,2
Pergunta número 82: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,8,2
Pergunta número 83: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,2,2
Pergunta número 84: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,2
Pergunta número 85: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,1,1
Pergunta número 86: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,8,3
Pergunta número 87: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,5,1
Pergunta número 88: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,6,1
Pergunta número 89: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,7,3
Pergunta número 90: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,2,1
Pergunta número 91: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,1,1
Pergunta número 92: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,7,1
Pergunta número 93: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,7,2
Pergunta número 94: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,7,3
Pergunta número 95: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,C,2,2
Pergunta número 96: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,A,6,2
Pergunta número 97: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,3,3
Pergunta número 98: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,B,4,1
Pergunta número 99: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,7,1
Pergunta número 100: Qual é a alternativa correta?,Alternativa A,Alternativa B,Alternativa C,Alternativa D,D,5,1
